Date,Irradiance(MJ/m2)
2014/2/17,15.48
2014/2/18,16.49
2014/2/19,14.28
2014/2/20,10.89
2014/2/21,17.33
2014/2/22,17.14
2014/2/23,9.69
2014/2/24,9.97
2014/2/25,16.66
2014/2/26,17.26
2014/2/27,3.4
2014/2/28,14.62
2014/3/1,1.49
2014/3/2,1.82
2014/3/3,11.67
2014/3/4,17.75
2014/3/5,2.39
2014/3/6,20.05
2014/3/7,15.26
2014/3/8,19.62
2014/3/9,16.37
2014/3/10,16.47
2014/3/11,21.22
2014/3/12,18.2
2014/3/13,4.25
2014/3/14,6.1
2014/3/15,21.46
2014/3/16,20.36
2014/3/17,20.15
2014/3/18,19
2014/3/19,11.51
2014/3/20,1.97
2014/3/21,18.17
2014/3/22,22.86
2014/3/23,21.56
2014/3/24,22.45
2014/3/25,20.94
2014/3/26,9.44
2014/3/27,1.95
2014/3/28,21.84
2014/3/29,20.95
2014/3/30,3.11
2014/3/31,23.89
2014/4/1,21.73
2014/4/2,19.19
2014/4/3,2.84
2014/4/4,14.6
2014/4/5,19.78
2014/4/6,14.78
2014/4/7,24.6
2014/4/8,22.74
2014/4/9,19.38
2014/4/10,22.35
2014/4/11,24.99
2014/4/12,25.34
2014/4/13,19.17
2014/4/14,22.09
2014/4/15,25.55
2014/4/16,21.7
2014/4/17,22.16
2014/4/18,3.44
2014/4/19,19.85
2014/4/20,12.49
2014/4/21,6
2014/4/22,13.09
2014/4/23,24.28
2014/4/24,24.29
2014/4/25,25.74
2014/4/26,25.29
2014/4/27,27.16
2014/4/28,18.57
2014/4/29,11.07
2014/4/30,2.58
2014/5/1,20.82
2014/5/2,23.3
2014/5/3,24.78
2014/5/4,25.95
2014/5/5,6.1
2014/5/6,4.86
2014/5/7,26.49
2014/5/8,21.09
2014/5/9,24.62
2014/5/10,27.89
2014/5/11,28.85
2014/5/12,21.8
2014/5/13,10.21
2014/5/14,19.54
2014/5/15,10.34
2014/5/16,22.87
2014/5/17,27.78
2014/5/18,28.28
2014/5/19,23.94
2014/5/20,20.82
2014/5/21,5.03
2014/5/22,17.22
2014/5/23,20.97
2014/5/24,26.97
2014/5/25,17.67
2014/5/26,14.61
2014/5/27,13.35
2014/5/28,22.07
2014/5/29,22.77
2014/5/30,26.81
2014/5/31,26.96
2014/6/1,28.22
2014/6/2,25.45
2014/6/3,22.48
2014/6/4,24.78
2014/6/5,5.69
2014/6/6,2.69
2014/6/7,3.89
2014/6/8,6.09
2014/6/9,12.11
2014/6/10,17.07
2014/6/11,4.8
2014/6/12,6.11
2014/6/13,24.77
2014/6/14,28.85
2014/6/15,29.65
2014/6/16,25.12
2014/6/17,18.36
2014/6/18,8.14
2014/6/19,26.34
2014/6/20,24.75
2014/6/21,19.26
2014/6/22,6.38
2014/6/23,15.77
2014/6/24,9.4
2014/6/25,7.62
2014/6/26,20.09
2014/6/27,10.09
2014/6/28,6.21
2014/6/29,14.73
2014/6/30,16.48
2014/7/1,21.71
2014/7/2,24.97
2014/7/3,13.58
2014/7/4,5.39
2014/7/5,4.47
2014/7/6,22.62
2014/7/7,4.23
2014/7/8,25.85
2014/7/9,5.23
2014/7/10,14.68
2014/7/11,21.79
2014/7/12,24.64
2014/7/13,8.06
2014/7/14,19.71
2014/7/15,20.81
2014/7/16,25.44
2014/7/17,18.3
2014/7/18,5.62
2014/7/19,5.98
2014/7/20,15.73
2014/7/21,16.84
2014/7/22,22
2014/7/23,22.33
2014/7/24,15
2014/7/25,24.48
2014/7/26,24.78
2014/7/27,23
2014/7/28,22.12
2014/7/29,25.35
2014/7/30,21.9
2014/7/31,24.82
2014/8/1,25.25
2014/8/2,24.85
2014/8/3,24.85
2014/8/4,23.36
2014/8/5,26.98
2014/8/6,27.09
2014/8/7,25.62
2014/8/8,11.98
2014/8/9,6.85
2014/8/10,6.85
2014/8/11,25.06
2014/8/12,6.18
2014/8/13,20.3
2014/8/14,7.05
2014/8/15,25.49
2014/8/16,7.71
2014/8/17,15.35
2014/8/18,19.36
2014/8/19,25.33
2014/8/20,22.81
2014/8/21,22.39
2014/8/22,23.65
2014/8/23,10.54
2014/8/24,17.38
2014/8/25,10.04
2014/8/26,3.25
2014/8/27,3.08
2014/8/28,3.99
2014/8/29,7.3
2014/8/30,11.51
2014/8/31,9.04
2014/9/1,4.04
2014/9/2,21.69
2014/9/3,10.88
2014/9/4,9.31
2014/9/5,15.51
2014/9/6,12.81
2014/9/7,3.07
2014/9/8,5.65
2014/9/9,16.22
2014/9/10,11.12
2014/9/11,3.91
2014/9/12,20.04
2014/9/13,16.62
2014/9/14,21.45
2014/9/15,11.5
2014/9/16,18.62
2014/9/17,9.75
2014/9/18,14.41
2014/9/19,14.26
2014/9/20,4.42
2014/9/21,20.63
2014/9/22,15.89
2014/9/23,19.46
2014/9/24,10.87
2014/9/25,4.69
2014/9/26,18.36
2014/9/27,13.13
2014/9/28,19.71
2014/9/29,20.27
2014/9/30,17.77
2014/10/1,2.13
2014/10/2,8.29
2014/10/3,17.9
2014/10/4,7.57
2014/10/5,0.86
2014/10/6,8.63
2014/10/7,13.76
2014/10/8,12.02
2014/10/9,8.99
2014/10/10,14.17
2014/10/11,13.37
2014/10/12,8.84
2014/10/13,3.45
2014/10/14,17.87
2014/10/15,3.13
